Translation,pl,uk,no,,
mother,matka,мати,mor,,"TAK i HI są podwojone - raz po polsku, raz po ukraińsku, bo inaczej nie zamieniają się wszystkie wystąpienia"
father,ojciec,батько,far,,niektóre wyrażania (np. Wybierz język) pojawiają się w ukraińskim PABIQ po polsku
grandmother,babcia,бабуся,bestemor,,
grandfather,dziadek,дідусь,bestefar,,
village,wieś,село,ikke i by,,
small_city,małe miasto (poniżej 100 000 mieszkańców),мале місто (менше 100 000 мешканців),i en mindre by (under 100 000 innbyggere),,
large_city,duże miasto (co najmniej 100 000 mieszkańców),велике місто (що найменше 100 000 мешканців),i en større by (minst 100 000 innbyggere),,
TRUE,TAK,ТАК,JA,,
FALSE,NIE,НІ,NEI,,
yes,,TAK,,,
no,,HI,,,
boy,chłopiec,хлопчик,gutt,,
girl,dziewczynka,дівчинка,jente,,
other,inna,,,,
1,"1 (tylko dziecko, którego dotyczy kwestionariusz)","1 (тільки дитина, якої стостується анкета)",1 (bare barnet skjemaet dreier seg om),,
6,6 lub więcej,6 і більше,6 eller flere,,
0,"0 (dziecko, którego dotyczy kwestionariusz jest najstarsze)","0 (дитина, якої стосується анкета, є найстаршою)","0 (barnet skjemaet dreier seg om, er eldst)",,
5,5 lub więcej,5 і більше,5 eller flere,,
NA,Wybierz język,виберіть мову,velg språk,,
NA,Wybierz wiek,оберіть вік,,,
NA,,Wybierz język,,,
NA,,Wybierz wiek,,,
COUNTRY_UKRAINE,,Україна,,,
LANGUAGE_UKRAINIAN,,українська,,,
LANGUAGE_POLISH,polski,польська,polsk,,
LANGUAGE_ENGLISH,,,engelsk,,
LANGUAGE_NORWEGIAN,,,norsk,,
other,,інший,,,
0,zdecydowanie gorzej,значно гірше,ikke veldig bra / ikke like bra,,
1,trochę gorzej,трохи гірше,litt dårligere,,
2,bardzo podobnie,дуже подібно,(generelt) likt,,
3,lepiej niż inne dzieci,краще ніж інші діти,veldig bra / bedre,,
0,bardzo lub prawie zawsze,дуже або майже завжди,veldig ofte,,
1,często,часто,ofte,,
2,czasami,часом,noen ganger,,
3,prawie nigdy lub nigdy,майже ніколи або взагалі ніколи,aldri / nesten aldri,,
0,zupełnie niezadowolona(-y),зовсім незадоволена/ний,ikke fornøyd i det hele tatt,,
1,nie całkiem zadowolona(-y),не зовсім задоволена/ний,ikke helt fornøyd,,
2,raczej zadowolona(-y),швидше задоволена/ний,ganske fornøyd,,
3,całkowicie zadowolona(-y),цілком задоволена/ний,veldig fornøyd,,
0,nie mam takich informacji o rodzinie dziecka,не володію такою інформацією про сім'ю дитини,jeg vet ikke,,
0,"NIE, nie ma dodatkowych opiekunów","НІ, додаткових опікунів немає","NEI, det er ingen andre omsorgspersoner",,
1,"TAK, jest 1 dodatkowy opiekun","ТАК, є 1 додатковий опікун","JA, det er 1 annen omsorgsperson",,
2,"TAK, jest 2 dodatkowych opiekunów","ТАК, є 2 додаткових опікуна","JA, det er 2 andre omsorgspersoner",,
3,"TAK, jest więcej niż 2 dodatkowych opiekunów","ТАК, є більше 2 додаткових опікунів","JA, det er flere enn 2 andre omsorgspersoner",,
0,0 - dziecko nie ma rodzeństwa,,,,
1,pierwsze (najstarsze),,,,
2,drugie,,,,
3,trzecie,,,,
4,czwarte,,,,
5,piąte,,,,
6,szóste,,,,
4,tylko język polski,,,,
3,język polski z niektórymi słowami i zwrotami w innym języku,,,,
2,mniej więcej równe proporcje języka polskiego i innego języka,,,,
1,inny język z niektórymi słowami i zwrotami w języku polskim,,,,
0,tylko inny język,,,,
4,Tylko język polski,,,,
3,Język polski z niektórymi słowami i zwrotami w innym języku lub w regionalnej odmianie języka polskiego,,,,
2,Mniej więcej równe proporcje języka polskiego i innego (lub regionalnej odmiany języka polskiego),,,,
1,Głównie inny język (lub regionalna odmiana języka polskiego) z niektórymi słowami i zwrotami w języku polskim,,,,
0,Tylko inny język,,,,
0,0 - dziecko nie ma rodzeństwa,0 - barnet har ingen søsken,,,
